name,artists,primary_color,album_name,album_image,album_type,spotify_url
RAINYAUD2019,Galindo,undefined,Summer Nights,https://i.scdn.co/image/ab67616d0000b273135819b2b12d8495910febc1,single,https://open.spotify.com/track/18gcMF42gsiWKRhJ2crbti
Demons,Doja Cat,undefined,Demons + Paint The Town Red,https://i.scdn.co/image/ab67616d0000b2731536c13fd5ebbe3d56d9dc99,single,https://open.spotify.com/track/3ORJauxAOuvOmVi0kU26Sp
Arruinalo,Lu Ferreyra,undefined,Arruinalo,https://i.scdn.co/image/ab67616d0000b2735e72a4692ad76dd02be5aef0,single,https://open.spotify.com/track/7yeZbGepAopZvzwZtJe2MV
THROW UP,Dro Kenji,undefined,WISH YOU WERE HERE,https://i.scdn.co/image/ab67616d0000b273067d97b2569bbcccffa22e2c,album,https://open.spotify.com/track/1c6AfDaMx8fJevK3DE0RaT
Smoke!,Cilo,undefined,LOS,https://i.scdn.co/image/ab67616d0000b27327c00bd772ea8110a1b65a33,album,https://open.spotify.com/track/29plRyh0eymIY3Kr0Nn8yY
Euphoric,Derek Pope,undefined,Miracle Mile,https://i.scdn.co/image/ab67616d0000b2738aa250890fef5316f03af03f,album,https://open.spotify.com/track/0cedSl36y2yvPjcQexNB6J
Awake,Derek Pope,undefined,Awake,https://i.scdn.co/image/ab67616d0000b2736a55390dae809de40cec7984,single,https://open.spotify.com/track/3WPdIdjJP77kguVy3tFeiy
losin' it,forest,undefined,Bloom To Death,https://i.scdn.co/image/ab67616d0000b2738885a08eaa32ac5cf1e64351,album,https://open.spotify.com/track/3izUvtPn0LV3ncLaALAjjh
Want (feat. prodby668),Freddie Dredd, prodby668,undefined,Freddie's Inferno,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,album,https://open.spotify.com/track/1sRqm1JxQL88mrHhMLpQ5y
Bones,Derek Pope,undefined,Bones,https://i.scdn.co/image/ab67616d0000b27390f8463bfd7caefcb07d2766,single,https://open.spotify.com/track/107BkuE9vyTubKDDyWmm8y
i gave you everything,EKKSTACY,undefined,misery,https://i.scdn.co/image/ab67616d0000b273f794db296f9bcda7e665f53f,album,https://open.spotify.com/track/4ZmEsFdzxNfH2aWAhTEaWi
Lights,Rain Paris,undefined,Lights,https://i.scdn.co/image/ab67616d0000b2730eeea55e3da8582a788725f3,single,https://open.spotify.com/track/1IJMjzXjHzgq4KVLmld9aG
Strawberries,Kito, Elley Duhé, Trinidad James, Kodie Shane,undefined,Strawberries,https://i.scdn.co/image/ab67616d0000b2730968483c8a4b7a3665a75f02,single,https://open.spotify.com/track/7yCf63B6U2NEFwTI53FDkC
Backwards,The Rare Occasions,undefined,Into The Shallows,https://i.scdn.co/image/ab67616d0000b273e79e653cbab18f762ad6e9ea,album,https://open.spotify.com/track/7gw9aTMItbIbnuByJEKtJd
Fallinlove,zodivk,undefined,Fallinlove,https://i.scdn.co/image/ab67616d0000b2732fc4f13d76756457be0b1a7e,single,https://open.spotify.com/track/1lFtLdMNWHdJ8fZ8bIWeCw
Righteous,Mo Beats,undefined,Righteous,https://i.scdn.co/image/ab67616d0000b273a2fcc0e3c3a094f5b37b3321,single,https://open.spotify.com/track/2zG8L9QM7FnlKkLQYirIxh
Can’t Take A Joke,Drake,undefined,Scorpion,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,album,https://open.spotify.com/track/1dUHF4RyMmMTveJ0Rby6Xm
Drop the Game,Flume, Chet Faker,undefined,Drop the Game - EP,https://i.scdn.co/image/ab67616d0000b273b474de9842c58fa0dccd34eb,single,https://open.spotify.com/track/2mk87j3RWPdzy0rWIoUP1o
V,UNIVERSE,undefined,V,https://i.scdn.co/image/ab67616d0000b2739a5d50de42d69520174800d5,single,https://open.spotify.com/track/7zcV88EQu2yppiRfS1AI02
Good Vibration,Simula, Embr,undefined,Good Vibration,https://i.scdn.co/image/ab67616d0000b2735a8e6fbaf4c8b7dc3dae9541,single,https://open.spotify.com/track/6rFys2wCWn1viOIjZUneJV
desde las 10 (KANY’S INTERLUDE),Tainy, Kany García,undefined,DATA,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,album,https://open.spotify.com/track/3kviwFPwSWwjgjRNBEBUSe
with u,lucidbeatz,undefined,with u,https://i.scdn.co/image/ab67616d0000b27326ac8bd912379ecb3bd9a050,single,https://open.spotify.com/track/5nKVY8ddr3VWhuuNn71SvN
I'm Not Human,XXXTENTACION, Lil Uzi Vert,undefined,I'm Not Human (feat. Lil Uzi Vert),https://i.scdn.co/image/ab67616d0000b2732dc2c77b6de81a1318202468,single,https://open.spotify.com/track/1LWlpRhu9jUkDK47xzUzu1
SANG PEINE,Arsaphe,undefined,PATIENCE&BLOOD,https://i.scdn.co/image/ab67616d0000b27330b9a40b297f77de6684c667,single,https://open.spotify.com/track/3utrOIS8fK7mhn01F7LUZk
